ensembl_gene_id	n_pubmed_ids
ENSG00000047249	52
ENSG00000047315	173
ENSG00000047346	7
ENSG00000047365	17
ENSG00000047410	102
ENSG00000047457	183
ENSG00000047578	14
ENSG00000047579	190
ENSG00000047597	36
ENSG00000047617	23
ENSG00000047621	8
ENSG00000047634	14
ENSG00000047644	10
ENSG00000047648	12
ENSG00000047662	6
ENSG00000047849	100
ENSG00000047932	72
ENSG00000047936	125
ENSG00000048028	45
ENSG00000048052	126
ENSG00000048140	15
ENSG00000048162	26
ENSG00000048342	22
ENSG00000048392	73
ENSG00000048405	8
ENSG00000048462	55
ENSG00000048471	19
ENSG00000048540	20
ENSG00000048544	27
ENSG00000048545	42
ENSG00000048649	58
ENSG00000048707	16
ENSG00000048740	54
ENSG00000048828	52
ENSG00000048991	18
ENSG00000049089	53
ENSG00000049130	223
ENSG00000049167	63
ENSG00000049192	19
ENSG00000049239	50
ENSG00000049245	73
ENSG00000049246	129
ENSG00000049247	104
ENSG00000049249	119
ENSG00000049283	15
ENSG00000049323	91
ENSG00000049449	56
ENSG00000049540	251
ENSG00000049541	69
ENSG00000049618	89
ENSG00000049656	93
ENSG00000049759	229
ENSG00000049768	848
ENSG00000049769	11
ENSG00000049860	104
ENSG00000049883	10
ENSG00000050030	14
ENSG00000050130	15
ENSG00000050165	129
ENSG00000050327	41
ENSG00000050344	28
ENSG00000050393	14
ENSG00000050405	68
ENSG00000050426	35
ENSG00000050438	15
ENSG00000050555	18
ENSG00000050628	96
ENSG00000050730	19
ENSG00000050748	240
ENSG00000050767	17
ENSG00000050820	229
ENSG00000051009	17
ENSG00000051108	67
ENSG00000051128	38
ENSG00000051180	598
ENSG00000051341	40
ENSG00000051382	198
ENSG00000051523	310
ENSG00000051596	21
ENSG00000051620	21
ENSG00000051825	27
ENSG00000052126	32
ENSG00000052344	62
ENSG00000052723	18
ENSG00000052749	46
ENSG00000052795	14
ENSG00000052802	15
ENSG00000052841	15
ENSG00000052850	36
ENSG00000053108	11
ENSG00000053254	35
ENSG00000053371	32
ENSG00000053372	39
ENSG00000053438	26
ENSG00000053501	26
ENSG00000053524	10
ENSG00000053702	15
ENSG00000053747	107
ENSG00000053770	13
ENSG00000053900	78
ENSG00000053918	524
ENSG00000054116	37
ENSG00000054118	98
ENSG00000054148	44
ENSG00000054179	19
ENSG00000054219	37
ENSG00000054267	37
ENSG00000054277	17
ENSG00000054282	44
ENSG00000054356	56
ENSG00000054392	18
ENSG00000054523	91
ENSG00000054598	147
ENSG00000054611	21
ENSG00000054654	73
ENSG00000054690	8
ENSG00000054793	17
ENSG00000054796	17
ENSG00000054803	17
ENSG00000054938	13
ENSG00000054965	26
ENSG00000054967	16
ENSG00000054983	63
ENSG00000055044	65
ENSG00000055070	10
ENSG00000055118	569
ENSG00000055130	412
ENSG00000055147	13
ENSG00000055163	55
ENSG00000055208	149
ENSG00000055211	7
ENSG00000055332	349
ENSG00000055483	40
ENSG00000055609	82
ENSG00000055732	25
ENSG00000055813	7
ENSG00000055917	48
ENSG00000055950	29
ENSG00000055955	47
ENSG00000055957	49
ENSG00000056050	18
ENSG00000056097	45
ENSG00000056277	16
ENSG00000056291	24
ENSG00000056487	12
ENSG00000056558	200
ENSG00000056586	18
ENSG00000056736	48
ENSG00000056972	65
ENSG00000056998	21
ENSG00000057019	26
ENSG00000057149	116
ENSG00000057252	93
ENSG00000057294	111
ENSG00000057468	31
ENSG00000057593	445
ENSG00000057608	54
ENSG00000057657	150
ENSG00000057663	145
ENSG00000057704	12
ENSG00000057757	13
ENSG00000057935	63
ENSG00000058056	43
ENSG00000058063	17
ENSG00000058085	133
ENSG00000058091	46
ENSG00000058262	71
ENSG00000058272	119
ENSG00000058335	57
ENSG00000058404	89
ENSG00000058453	31
ENSG00000058600	21
ENSG00000058668	105
ENSG00000058673	39
ENSG00000058729	26
ENSG00000058799	18
ENSG00000058804	28
ENSG00000058866	28
ENSG00000059122	14
ENSG00000059145	17
ENSG00000059377	80
ENSG00000059378	20
ENSG00000059573	54
ENSG00000059588	28
ENSG00000059691	13
ENSG00000059728	64
ENSG00000059758	33
ENSG00000059769	4
