orf_id_a	orf_id_b	result	experiment	source
1768	3214	0.0	testing_y2h_v1	test_space_y2h_v1
1768	6306		testing_y2h_v3	test_space_y2h_v3
1768	7244	0.0	testing_y2h_v3	RRS
1768	7244	0.0	testing_y2h_v1	RRS
1768	7244	0.0	testing_y2h_v2	RRS
1768	7605	0.0	testing_y2h_v3	test_space_y2h_v3
1768	7682	0.0	testing_y2h_v1	test_space_y2h_v1
1768	10101	0.0	testing_y2h_v3	test_space_y2h_v3
1768	14983	0.0	testing_y2h_v1	test_space_y2h_v1
1782	14862	0.0	testing_y2h_v1	test_space_y2h_v1
1846	4516	0.0	testing_y2h_v1	test_space_y2h_v1
1846	7682	0.0	testing_y2h_v1	test_space_y2h_v1
1846	9637		testing_y2h_v1	test_space_y2h_v1
1846	10016		testing_y2h_v1	test_space_y2h_v1
1846	11648	0.0	testing_y2h_v1	test_space_y2h_v1
1846	14862	0.0	testing_y2h_v1	test_space_y2h_v1
1940	14646	0.0	testing_y2h_v1	test_space_y2h_v1
1940	14646	0.0	testing_y2h_v2	test_space_y2h_v2
1940	70773	0.0	testing_y2h_v3	RRS
1940	70773	0.0	testing_y2h_v1	RRS
1940	70773	0.0	testing_y2h_v2	RRS
1944	6836	0.0	testing_y2h_v1	test_space_y2h_v1
2158	14815	0.0	testing_y2h_v3	RRS
2158	14815	0.0	testing_y2h_v1	RRS
2161	56300		testing_y2h_v3	Lit_BM_13
2161	56300	0.0	testing_y2h_v1	Lit_BM_13
2161	56300	0.0	testing_y2h_v2	Lit_BM_13
2161	56851		testing_y2h_v3	Lit_BM_13
2161	56851	0.0	testing_y2h_v1	Lit_BM_13
2161	56851	0.0	testing_y2h_v2	Lit_BM_13
2239	9637		testing_y2h_v1	test_space_y2h_v1
2239	11416	0.0	testing_y2h_v3	Lit_BM_13
2239	11416	0.0	testing_y2h_v1	Lit_BM_13
2239	11416	0.0	testing_y2h_v2	Lit_BM_13
2239	53089	0.0	testing_y2h_v3	Lit_BM_13
2239	53089	0.0	testing_y2h_v1	Lit_BM_13
2239	53089	0.0	testing_y2h_v2	Lit_BM_13
2265	8189	0.0	testing_y2h_v3	RRS
2265	8189	0.0	testing_y2h_v1	RRS
2403	8578	0.0	testing_y2h_v3	Lit_BM_13
2403	8578	0.0	testing_y2h_v1	Lit_BM_13
2403	8578	0.0	testing_y2h_v2	Lit_BM_13
2462	12975	0.0	testing_y2h_v3	RRS
2462	12975	0.0	testing_y2h_v1	RRS
2483	7894		testing_y2h_v3	Lit_BM_13
2483	7894	0.0	testing_y2h_v1	Lit_BM_13
2483	7894	0.0	testing_y2h_v2	Lit_BM_13
2538	2838	0.0	testing_y2h_v3	test_space_y2h_v3
2538	3740		testing_y2h_v2	test_space_y2h_v2
2538	5044	0.0	testing_y2h_v3	RRS
2538	5044		testing_y2h_v1	RRS
2538	5044		testing_y2h_v2	RRS
2538	6446	0.0	testing_y2h_v3	test_space_y2h_v3
2538	8001	0.0	testing_y2h_v3	test_space_y2h_v3
2538	10773	0.0	testing_y2h_v3	test_space_y2h_v3
2538	11362		testing_y2h_v3	test_space_y2h_v3
2538	13641	0.0	testing_y2h_v3	test_space_y2h_v3
2538	52707	0.0	testing_y2h_v3	test_space_y2h_v3
2561	3425	0.0	testing_y2h_v3	Lit_BM_13
2561	3425	0.0	testing_y2h_v1	Lit_BM_13
2561	3425	0.0	testing_y2h_v2	Lit_BM_13
2561	14862	0.0	testing_y2h_v1	test_space_y2h_v1
2597	14654		testing_y2h_v3	RRS
2597	14654	0.0	testing_y2h_v1	RRS
2655	6223	0.0	testing_y2h_v3	Lit_BM_13
2655	6223	0.0	testing_y2h_v1	Lit_BM_13
2655	6223	0.0	testing_y2h_v2	Lit_BM_13
2687	3729	0.0	testing_y2h_v3	RRS
2687	3729	0.0	testing_y2h_v1	RRS
2687	3729	0.0	testing_y2h_v2	RRS
2691	3598	0.0	testing_y2h_v1	test_space_y2h_v1
2691	4616		testing_y2h_v1	test_space_y2h_v1
2691	9846	0.0	testing_y2h_v1	test_space_y2h_v1
2691	100000239	0.0	testing_y2h_v3	RRS
2691	100000239	0.0	testing_y2h_v1	RRS
2691	100000239	0.0	testing_y2h_v2	RRS
2691	100010379	0.0	testing_y2h_v1	test_space_y2h_v1
2701	53120	0.0	testing_y2h_v3	Lit_BM_13
2701	53120	0.0	testing_y2h_v1	Lit_BM_13
2701	53120	0.0	testing_y2h_v2	Lit_BM_13
2724	3068	0.0	testing_y2h_v3	test_space_y2h_v3
2741	7122		testing_y2h_v3	RRS
2741	7122	0.0	testing_y2h_v1	RRS
2741	100001929	0.0	testing_y2h_v3	RRS
2741	100001929	0.0	testing_y2h_v1	RRS
2767	13962	0.0	testing_y2h_v3	RRS
2767	13962	0.0	testing_y2h_v1	RRS
2786	2847	0.0	testing_y2h_v3	Lit_BM_13
2786	2847	0.0	testing_y2h_v1	Lit_BM_13
2786	2847	0.0	testing_y2h_v2	Lit_BM_13
2786	7237	0.0	testing_y2h_v3	Lit_BM_13
2786	7237	0.0	testing_y2h_v1	Lit_BM_13
2786	7237	0.0	testing_y2h_v2	Lit_BM_13
2796	8486	0.0	testing_y2h_v3	RRS
2796	8486	0.0	testing_y2h_v1	RRS
2796	8486	0.0	testing_y2h_v2	RRS
