orf_id_a	orf_id_b	Y2H_assay_version	category	result	num_screens
2098	72006	1	HuRI	0.0	1
2098	100000407	1	HuRI	0.0	1
2113	56684	1	HuRI	0.0	2
2208	5594	1	HuRI	0.0	3
2221	12870	1	HuRI	0.0	2
2239	2239	1	HuRI	1.0	3
2239	3043	1	HuRI	0.0	1
2239	53473	1	HuRI	0.0	1
2239	100009829	1	HuRI	0.0	3
2241	56684	1	HuRI	0.0	2
2245	4622	1	HuRI	0.0	1
2245	11305	1	HuRI	0.0	1
2261	4696	1	HuRI	0.0	2
2261	6453	1	HuRI		1
2261	10715	1	HuRI	0.0	1
2261	100069008	1	HuRI	0.0	3
2265	4468	1	HuRI	0.0	3
2265	8273	1	HuRI	0.0	1
2265	56544	1	HuRI	0.0	2
2285	13662	1	HuRI	1.0	1
2324	8141	1	HuRI	0.0	1
2332	12653	1	HuRI	0.0	1
2332	71408	1	HuRI	0.0	1
2339	4516	1	HuRI	0.0	2
2339	5965	1	HuRI	0.0	1
2339	71628	1	HuRI		2
2362	9231	1	HuRI	0.0	1
2362	13662	1	HuRI	0.0	2
2407	13067	1	HuRI	0.0	1
2417	56711	1	HuRI	0.0	3
2421	9637	1	HuRI	0.0	2
2421	54640	1	HuRI	0.0	1
2424	53210	1	HuRI		2
2427	6865	1	HuRI	0.0	1
2427	8533	1	HuRI	0.0	3
2427	56911	1	HuRI	0.0	1
2431	3115	1	HuRI		2
2454	4406	1	HuRI		1
2454	7439	1	HuRI	0.0	3
2463	13721	1	HuRI	0.0	3
2486	8843	1	HuRI		1
2504	4105	1	HuRI	0.0	2
2533	53281	1	HuRI	0.0	2
2537	15026	1	HuRI	0.0	2
2541	100064163	1	HuRI	0.0	2
2544	6112	1	HuRI	0.0	2
2544	13662	1	HuRI	0.0	2
2555	4862	1	HuRI	0.0	1
2575	4706	1	HuRI	0.0	2
2575	9433	1	HuRI	0.0	1
2575	13662	1	HuRI	1.0	3
2587	2725	1	HuRI	0.0	2
2587	8110	1	HuRI		2
2589	4161	1	HuRI		1
2603	4516	1	HuRI	0.0	3
2656	14879	1	HuRI	0.0	1
2659	6704	1	HuRI	0.0	2
2661	53833	1	HuRI	0.0	2
2669	7357	1	HuRI	0.0	1
2669	100066525	1	HuRI	0.0	2
2675	8352	1	HuRI		1
2706	6137	1	HuRI	0.0	3
2706	53279	1	HuRI	0.0	3
2711	13662	1	HuRI	1.0	2
2712	14806	1	HuRI		1
2713	100016109	1	HuRI	0.0	1
2717	5460	1	HuRI	0.0	3
2717	53842	1	HuRI	0.0	3
2724	2724	1	HuRI	1.0	3
2724	3392	1	HuRI	0.0	1
2725	12260	1	HuRI		2
2739	5431	1	HuRI	1.0	3
2786	56684	1	HuRI	0.0	2
2798	56141	1	HuRI	0.0	2
2801	3044	1	HuRI	0.0	1
2801	7450	1	HuRI	0.0	1
2810	70025	1	HuRI	0.0	1
2821	3731	1	HuRI	1.0	3
2821	10664	1	HuRI	0.0	2
2827	7110	1	HuRI		1
2827	9383	1	HuRI	0.0	3
2827	100064207	1	HuRI	1.0	2
2837	3851	1	HuRI	0.0	3
2864	14398	1	HuRI	0.0	1
2897	55174	1	HuRI	0.0	2
2906	8787	1	HuRI		1
2906	56432	1	HuRI	0.0	1
2906	100064142	1	HuRI	0.0	1
2910	4755	1	HuRI	0.0	1
2917	100016119	1	HuRI	0.0	2
2920	13142	1	HuRI	0.0	2
2920	56141	1	HuRI	0.0	1
2922	70810	1	HuRI	0.0	3
2931	55664	1	HuRI	0.0	1
2940	6901	1	HuRI	0.0	2
2966	56141	1	HuRI	0.0	2
2968	5200	1	HuRI	0.0	2
2991	4105	1	HuRI	0.0	1
2991	70264	1	HuRI	0.0	3
3015	6743	1	HuRI		1
3021	5359	1	HuRI	0.0	2
3021	71402	1	HuRI	0.0	2
3021	100067112	1	HuRI	0.0	1
3023	13795	1	HuRI	0.0	1
3025	6123	1	HuRI	0.0	1
3025	56711	1	HuRI	0.0	2
3036	71001	1	HuRI	0.0	2
3044	3504	1	HuRI	0.0	1
3044	6877	1	HuRI	0.0	1
3044	7606	1	HuRI	0.0	1
3044	13600	1	HuRI	0.0	2
3044	55664	1	HuRI	0.0	1
3044	56541	1	HuRI	0.0	2
3048	13662	1	HuRI	0.0	2
3048	70025	1	HuRI	0.0	2
3050	55237	1	HuRI	0.0	1
3053	3504	1	HuRI	0.0	1
3053	13662	1	HuRI	0.0	3
3053	100015815	1	HuRI	0.0	1
3077	8141	1	HuRI	0.0	1
3077	14983	1	HuRI	0.0	1
3097	11422	1	HuRI		2
3110	5357	1	HuRI	0.0	3
3110	5359	1	HuRI	0.0	1
3110	5894	1	HuRI	0.0	1
