ensembl_gene_id_a	ensembl_gene_id_b	assay_id	screens
ENSG00000111077	ENSG00000242259	1	1,4
ENSG00000167792	ENSG00000197191	1	3
ENSG00000100055	ENSG00000150477	1	3,4,5,12
ENSG00000170903	ENSG00000204209	1	2,3,7,8,12
ENSG00000087338	ENSG00000112578	1	2,5,6,8,11,12
ENSG00000173480	ENSG00000183092	1	1
ENSG00000140743	ENSG00000169981	1	12
ENSG00000082512	ENSG00000127191	1	1,4,5,6,7,8,9,10,12
ENSG00000161405	ENSG00000165630	1	7
ENSG00000104164	ENSG00000175895	1	12
ENSG00000161405	ENSG00000166432	1	4
ENSG00000124074	ENSG00000140743	1	2,3,4,5,7,8,9,10,11,12
ENSG00000120860	ENSG00000204536	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000145414	ENSG00000162613	1	7
ENSG00000130803	ENSG00000226941	1	1,2,3,4,6,7,8,9,11,12
ENSG00000167565	ENSG00000174007	1	11
ENSG00000125952	ENSG00000175895	1	10,11
ENSG00000182950	ENSG00000197191	1	4,7,10
ENSG00000113790	ENSG00000165410	1	4,6
ENSG00000140259	ENSG00000167110	1	1,2,3,4,5,7,8,9,11,12
ENSG00000127191	ENSG00000134595	1	10
ENSG00000103275	ENSG00000145414	1	8
ENSG00000162927	ENSG00000176438	1	7
ENSG00000183283	ENSG00000221983	1	1,3,4,5,6,7,8,9,10,12
ENSG00000119725	ENSG00000197019	1	10
ENSG00000127191	ENSG00000139714	1	2,3,4,5,7,8,9,10,12
ENSG00000099624	ENSG00000111077	1	8
ENSG00000173480	ENSG00000197191	1	1,4,5,6,8,9,10,12
ENSG00000156050	ENSG00000170260	1	4
ENSG00000127191	ENSG00000146592	1	2,10,11
ENSG00000124602	ENSG00000197191	1	3,11,12
ENSG00000147144	ENSG00000270765	1	5
ENSG00000130119	ENSG00000167110	1	8
ENSG00000058404	ENSG00000097021	1	9
ENSG00000145414	ENSG00000152430	1	1,3,4,6,7,8,9,10,11,12
ENSG00000115507	ENSG00000138315	1	3,4,5,6,8,9,10,12
ENSG00000104611	ENSG00000213639	1	2,3,5,6,7,8,9,10,11,12
ENSG00000176171	ENSG00000196937	1	10
ENSG00000173641	ENSG00000175895	1	8
ENSG00000180354	ENSG00000183283	1	4,5,6,7,8,9,10,11,12
ENSG00000164287	ENSG00000167110	1	1,2,4,11
ENSG00000066651	ENSG00000146038	1	8
ENSG00000114416	ENSG00000140259	1	1,2,3,4,7,8,9,11
ENSG00000078674	ENSG00000100055	1	1,11
ENSG00000124444	ENSG00000182676	1	10
ENSG00000150477	ENSG00000151338	1	11
ENSG00000084463	ENSG00000185787	1	7
ENSG00000118495	ENSG00000197256	1	7,8
ENSG00000123143	ENSG00000161405	1	9
ENSG00000008086	ENSG00000167110	1	11,12
ENSG00000115274	ENSG00000117475	1	4
ENSG00000151338	ENSG00000161405	1	11
ENSG00000115507	ENSG00000186970	1	7,11
ENSG00000112578	ENSG00000114416	1	1,3,5,6,10
ENSG00000082781	ENSG00000197191	1	1,2,3,4,6,7,9,10,11,12
ENSG00000112578	ENSG00000178104	1	11
ENSG00000058404	ENSG00000185787	1	6,12
ENSG00000111077	ENSG00000172782	1	2,3
ENSG00000159069	ENSG00000197191	1	1,2,3,4,5,6,9,10,11,12
ENSG00000150477	ENSG00000159588	1	1,2,3,6,8,9,10,12
ENSG00000011275	ENSG00000180667	1	1,3,6,7,12
ENSG00000006534	ENSG00000197191	1	1,8,12
ENSG00000127191	ENSG00000185787	1	7
ENSG00000140262	ENSG00000145945	1	8
ENSG00000111605	ENSG00000151929	1	11
ENSG00000161405	ENSG00000173641	1	2,9
ENSG00000145414	ENSG00000183283	1	1,4,6,7,10
ENSG00000062822	ENSG00000117153	1	5,7
ENSG00000099812	ENSG00000127191	1	1,2,3,4,7,8,10,11,12
ENSG00000150477	ENSG00000204536	1	1,4,8,9,10,11
ENSG00000112578	ENSG00000135521	1	1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000115392	ENSG00000197191	1	10
ENSG00000137868	ENSG00000187180	1	7
ENSG00000140262	ENSG00000164287	1	1
ENSG00000153944	ENSG00000169045	1	1,2,4,5,10,11
ENSG00000143318	ENSG00000270765	1	5,7
ENSG00000124164	ENSG00000181778	1	3,10,11
ENSG00000117475	ENSG00000186510	1	6
ENSG00000113790	ENSG00000161405	1	2,10
ENSG00000127191	ENSG00000166432	1	9,10
ENSG00000127191	ENSG00000221818	1	1,3,4,5,8,9,10,11,12
ENSG00000123143	ENSG00000150477	1	1,7,9
