standard_batch	source	assay	test_orf_ida	test_orf_idb	final_score
Hvs01	Lit-BM	GPCA	7547	2427	19.295703323728972
Hvs01	RRS	GPCA	100068173	5352	12.3814168755319
Hvs01	RRS	GPCA	8406	100002382	14.91563834227945
Hvs01	Lit-BM	GPCA	4662	611	12.700560848885944
Hvs01	Lit-BM	GPCA	9535	120	11.028549004356135
Hvs01	RRS	GPCA	53120	100016209	14.476063248198589
Hvs01	Hs01	GPCA	100015303	1868	17.97914551831287
Hvs01	RRS	GPCA	717	56589	11.78059035662043
Hvs01	Lit-BM	GPCA	2660	71732	12.823999366677565
Hvs01	RRS	GPCA	6323	8314	11.051517093691402
Hvs01	Lit-BM	GPCA	3120	5998	13.826247312119108
Hvs01	RRS	GPCA	5603	10219	13.582717887031128
Hvs01	Lit-BM	GPCA	2709	11903	22.074153166928106
Hvs01	Hs01	GPCA	56141	53860	12.80792175066361
Hvs01	Lit-BM	GPCA	3154	71517	18.046307289933395
Hvs01	Hs01	GPCA	100014855	53991	15.966949532642921
Hvs01	Lit-BM	GPCA	71003	10493	19.082790034627678
Hvs01	Hs01	GPCA	13600	2077	16.873600454343762
Hvs01	Hs01	GPCA	12137	13918	11.227740873752484
Hvs01	RRS	GPCA	12286	56328	11.270264702633982
Hvs01	RRS	GPCA	70596	2758	17.790679560800097
Hvs01	Hs01	GPCA	54354	56924	13.64951856096804
Hvs01	RRS	GPCA	12322	4427	12.175134283111998
Hvs01	RRS	GPCA	13791	876	12.190513534920338
Hvs01	RRS	GPCA	14057	2805	14.28766805498928
Hvs01	RRS	GPCA	3283	70786	11.634325109007438
Hvs01	Lit-BM	GPCA	5638	4489	15.821478079746932
Hvs01	RRS	GPCA	13049	7937	11.335346491650455
Hvs01	Lit-BM	GPCA	3852	71314	12.081370216753536
Hvs01	RRS	GPCA	100062664	71814	12.300344366352045
Hvs01	Lit-BM	GPCA	7959	70300	12.62066574823679
Hvs01	Lit-BM	GPCA	100068256	12631	11.513649296026124
Hvs01	RRS	GPCA	975	6312	11.38214910381587
Hvs01	RRS	GPCA	54895	9640	13.831509808090372
Hvs01	RRS	GPCA	5920	100061564	12.880005331497705
Hvs01	Lit-BM	GPCA	11103	71021	17.443312349916788
Hvs01	Hs01	GPCA	2922	70810	18.35378928567413
Hvs01	RRS	GPCA	52634	6920	14.949344764599159
Hvs01	Lit-BM	GPCA	9794	12070	13.69689324371943
Hvs01	RRS	GPCA	56639	56003	14.836150924042254
Hvs01	RRS	GPCA	11158	4627	13.535179495530638
Hvs01	Hs01	GPCA	100066360	52678	11.35050259604874
Hvs01	RRS	GPCA	7208	78	15.56736594775957
Hvs01	RRS	GPCA	100061932	3008	12.084614859136327
Hvs01	Hs01	GPCA	56090	72096	12.803108967577064
Hvs01	RRS	GPCA	11251	1697	11.75307514508244
Hvs01	Hs01	GPCA	71027	5285	13.682640005385409
Hvs01	Lit-BM	GPCA	6449	6003	17.15349686500937
Hvs01	Hs01	GPCA	1108	1863	12.915375242495287
Hvs01	Hs01	GPCA	2427	8533	15.877776976480767
Hvs01	RRS	GPCA	70606	53018	13.197286297885565
Hvs01	Hs01	GPCA	3053	100015815	12.011361349616564
Hvs01	RRS	GPCA	4109	53278	12.64380291446151
Hvs01	Hs01	GPCA	55625	3567	16.58590502366924
Hvs01	RRS	GPCA	55560	53160	12.439944443136657
Hvs01	Hs01	GPCA	5431	54957	12.387428735910404
Hvs01	Hs01	GPCA	4211	657	24.39896853884328
Hvs01	RRS	GPCA	11557	8665	13.287534249641244
Hvs01	Hs01	GPCA	100064207	11746	18.594468073489008
Hvs01	Lit-BM	GPCA	53366	100066371	13.93206026644411
Hvs01	RRS	GPCA	100066377	4808	16.18037524800644
Hvs01	RRS	GPCA	53600	100061574	14.648911041709763
Hvs01	Hs01	GPCA	56513	13800	12.91772019572874
Hvs01	Hs01	GPCA	3699	6131	17.61046856614824
Hvs01	RRS	GPCA	100066377	70179	16.798018096731067
Hvs01	Hs01	GPCA	10460	71052	13.817314542905724
Hvs01	RRS	GPCA	8906	5613	12.823665008088629
Hvs01	Lit-BM	GPCA	100061861	2709	18.948479275968737
Hvs01	RRS	GPCA	56165	11999	13.457779684367457
Hvs01	RRS	GPCA	70883	100069234	12.249270718598684
Hvs01	Hs01	GPCA	2098	5002	13.216410912074942
Hvs01	Hs01	GPCA	55730	14263	14.341463553997766
Hvs01	RRS	GPCA	3180	9318	11.620316339341008
Hvs01	RRS	GPCA	100068746	4386	16.436622343066126
Hvs01	RRS	GPCA	12385	280	15.643834168504808
Hvs01	Lit-BM	GPCA	70922	12346	11.34990821211351
Hvs01	RRS	GPCA	72111	54446	15.118294154021331
Hvs01	RRS	GPCA	5196	290	12.668032733842658
Hvs01	Hs01	GPCA	3818	6467	18.078784068405746
Hvs01	RRS	GPCA	14783	5014	10.734587381936917
Hvs01	Hs01	GPCA	100014757	71402	16.628305314766077
Hvs01	Hs01	GPCA	7876	100064145	12.078249143930995
Hvs01	RRS	GPCA	5888	7903	12.869819908852207
Hvs01	RRS	GPCA	71833	100016017	13.32672531065505
Hvs01	RRS	GPCA	54828	7976	14.113305463939415
Hvs01	RRS	GPCA	100066377	71888	13.824083714015766
Hvs01	Lit-BM	GPCA	966	6512	12.562127995999397
Hvs01	RRS	GPCA	976	5848	11.967336216247176
Hvs01	Hs01	GPCA	56508	8065	16.14209871363714
Hvs01	RRS	GPCA	100062004	11114	16.96589105789807
Hvs01	Hs01	GPCA	14973	54668	11.966012374750584
Hvs01	Lit-BM	GPCA	1058	53922	15.177332116631813
Hvs01	Hs01	GPCA	7171	1668	14.206170533126208
Hvs01	Lit-BM	GPCA	56155	15065	15.203791422302352
Hvs01	RRS	GPCA	52661	100068937	14.470585528129494
Hvs01	RRS	GPCA	9809	100064201	14.903698897119277
Hvs01	Lit-BM	GPCA	12346	9924	12.4049637265359
Hvs01	Lit-BM	GPCA	11706	3510	17.848601771740395
Hvs01	RRS	GPCA	5319	5420	12.56988741479672
Hvs01	Hs01	GPCA	10821	573	13.675041256850594
Hvs01	Hs01	GPCA	11060	10081	12.483126683029674
Hvs01	RRS	GPCA	56673	56411	10.662867102691028
Hvs01	RRS	GPCA	1836	10698	13.02146422908178
Hvs01	Hs01	GPCA	13662	100064145	16.33098815928819
Hvs01	Hs01	GPCA	5892	154	16.859568636734288
Hvs01	Hs01	GPCA	1260	100016009	15.536766559810127
Hvs01	RRS	GPCA	53326	4163	16.34877723697547
Hvs01	RRS	GPCA	7682	1873	11.901434074136962
Hvs01	RRS	GPCA	71985	184	14.575846678532665
Hvs01	RRS	GPCA	10298	10633	12.541184337518917
Hvs01	Lit-BM	GPCA	1904	5652	11.90078590267959
Hvs01	RRS	GPCA	1356	55787	15.419945620481002
Hvs01	Lit-BM	GPCA	5109	4887	12.00340374872169
Hvs01	Hs01	GPCA	7677	56513	15.20106276398501
Hvs01	RRS	GPCA	13881	10746	12.147641171297149
Hvs01	Hs01	GPCA	11403	824	17.82880028344112
Hvs01	Hs01	GPCA	100064163	54512	12.748015959508304
