ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000135679	ENSG00000141510	357	19	398
ENSG00000071054	ENSG00000150093	1	2	2
ENSG00000080824	ENSG00000112033	2	2	2
ENSG00000103126	ENSG00000204209	1	2	2
ENSG00000077348	ENSG00000171311	4	3	5
ENSG00000171311	ENSG00000178896	4	3	4
ENSG00000092445	ENSG00000145675	1	2	2
ENSG00000135679	ENSG00000197956	1	3	3
ENSG00000141510	ENSG00000197299	6	4	7
ENSG00000103202	ENSG00000103202	2	3	3
ENSG00000160224	ENSG00000204209	1	2	2
ENSG00000113083	ENSG00000172638	2	4	4
ENSG00000111752	ENSG00000134686	2	2	3
ENSG00000100151	ENSG00000198822	1	2	2
ENSG00000113083	ENSG00000115414	2	3	4
ENSG00000128567	ENSG00000140575	1	2	2
ENSG00000049540	ENSG00000113083	2	3	3
ENSG00000106211	ENSG00000204209	2	3	3
ENSG00000104814	ENSG00000158092	4	4	5
ENSG00000089220	ENSG00000132155	4	6	8
ENSG00000158445	ENSG00000168418	2	3	4
ENSG00000097007	ENSG00000104814	2	2	2
ENSG00000134686	ENSG00000162889	2	3	3
ENSG00000134686	ENSG00000168283	8	4	9
ENSG00000100351	ENSG00000104814	2	3	3
ENSG00000114738	ENSG00000134686	1	2	2
ENSG00000117748	ENSG00000133895	1	5	5
ENSG00000125753	ENSG00000168334	1	4	4
ENSG00000128591	ENSG00000168334	2	3	3
ENSG00000138347	ENSG00000183091	2	3	4
ENSG00000100151	ENSG00000164418	2	3	3
ENSG00000139517	ENSG00000139517	1	3	3
ENSG00000104365	ENSG00000187741	1	2	2
ENSG00000113575	ENSG00000120705	1	2	2
ENSG00000067369	ENSG00000121022	1	2	2
ENSG00000187741	ENSG00000221829	43	7	48
ENSG00000111667	ENSG00000168246	1	2	2
ENSG00000139517	ENSG00000153563	1	2	2
ENSG00000130985	ENSG00000168246	1	2	2
ENSG00000150991	ENSG00000168246	2	3	3
