	ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences	date
ENSG00000100241_ENSG00000106211	ENSG00000100241	ENSG00000106211	1	2	2	2014-12-01
ENSG00000106211_ENSG00000166946	ENSG00000106211	ENSG00000166946	1	2	2	2014-12-01
ENSG00000106211_ENSG00000151929	ENSG00000106211	ENSG00000151929	3	4	5	2014-07-17
ENSG00000106211_ENSG00000124491	ENSG00000106211	ENSG00000124491	2	2	2	2013-05-01
ENSG00000106211_ENSG00000146648	ENSG00000106211	ENSG00000146648	3	3	3	2013-05-01
ENSG00000106211_ENSG00000122194	ENSG00000106211	ENSG00000122194	1	2	2	2007-06-01
ENSG00000106211_ENSG00000160202	ENSG00000106211	ENSG00000160202	2	3	4	2002-02-08
ENSG00000106211_ENSG00000109846	ENSG00000106211	ENSG00000109846	9	4	12	2002-02-08
ENSG00000106211_ENSG00000167996	ENSG00000106211	ENSG00000167996	1	3	3	2014-12-01
ENSG00000106211_ENSG00000135046	ENSG00000106211	ENSG00000135046	1	2	2	2014-12-01
ENSG00000106211_ENSG00000141510	ENSG00000106211	ENSG00000141510	3	3	3	2007-01-09
ENSG00000106211_ENSG00000106211	ENSG00000106211	ENSG00000106211	5	4	6	2012-02-24
ENSG00000152208_ENSG00000215045	ENSG00000152208	ENSG00000215045	1	2	2	2002-02-01
ENSG00000078114_ENSG00000163092	ENSG00000078114	ENSG00000163092	1	3	3	2013-10-01
ENSG00000163092_ENSG00000183091	ENSG00000163092	ENSG00000183091	1	2	2	2013-10-01
ENSG00000183091_ENSG00000239474	ENSG00000183091	ENSG00000239474	1	2	2	2013-02-15
ENSG00000078246_ENSG00000183091	ENSG00000078246	ENSG00000183091	1	2	2	2013-02-15
ENSG00000135636_ENSG00000183091	ENSG00000135636	ENSG00000183091	1	2	2	2013-02-15
ENSG00000183091_ENSG00000197321	ENSG00000183091	ENSG00000197321	1	2	2	2008-09-19
ENSG00000138180_ENSG00000167987	ENSG00000138180	ENSG00000167987	1	2	2	2007-10-03
ENSG00000138180_ENSG00000138180	ENSG00000138180	ENSG00000138180	2	2	2	2007-10-03
ENSG00000074319_ENSG00000167987	ENSG00000074319	ENSG00000167987	3	3	4	2005-01-07
ENSG00000074319_ENSG00000185359	ENSG00000074319	ENSG00000185359	8	4	11	2003-06-24
ENSG00000074319_ENSG00000102858	ENSG00000074319	ENSG00000102858	3	5	5	2007-04-01
ENSG00000074319_ENSG00000090565	ENSG00000074319	ENSG00000090565	1	2	2	2012-01-01
ENSG00000074319_ENSG00000113580	ENSG00000074319	ENSG00000113580	2	2	3	2005-03-25
ENSG00000074319_ENSG00000177606	ENSG00000074319	ENSG00000177606	1	2	2	2007-08-01
ENSG00000074319_ENSG00000150991	ENSG00000074319	ENSG00000150991	5	3	5	2002-05-15
ENSG00000074319_ENSG00000186716	ENSG00000074319	ENSG00000186716	1	2	2	2006-06-15
ENSG00000074319_ENSG00000124762	ENSG00000074319	ENSG00000124762	1	2	2	2002-04-16
ENSG00000074319_ENSG00000140575	ENSG00000074319	ENSG00000140575	1	2	2	2007-10-03
ENSG00000067900_ENSG00000074319	ENSG00000067900	ENSG00000074319	1	2	2	2007-10-03
ENSG00000074319_ENSG00000138180	ENSG00000074319	ENSG00000138180	5	5	7	2007-06-29
ENSG00000074319_ENSG00000148356	ENSG00000074319	ENSG00000148356	5	5	8	2004-07-15
ENSG00000074319_ENSG00000136100	ENSG00000074319	ENSG00000136100	3	2	3	2006-10-01
ENSG00000074319_ENSG00000131242	ENSG00000074319	ENSG00000131242	1	2	2	2012-01-01
ENSG00000074319_ENSG00000197070	ENSG00000074319	ENSG00000197070	2	3	4	2011-04-01
ENSG00000074319_ENSG00000155975	ENSG00000074319	ENSG00000155975	6	3	6	2004-09-01
ENSG00000074319_ENSG00000170248	ENSG00000074319	ENSG00000170248	10	3	12	2003-09-19
ENSG00000074319_ENSG00000159210	ENSG00000074319	ENSG00000159210	2	1	2	2006-10-01
ENSG00000074319_ENSG00000074319	ENSG00000074319	ENSG00000074319	5	4	6	2003-04-01
ENSG00000101945_ENSG00000198003	ENSG00000101945	ENSG00000198003	1	2	2	2013-04-01
ENSG00000101945_ENSG00000141582	ENSG00000101945	ENSG00000141582	2	3	3	2002-08-01
ENSG00000004487_ENSG00000198003	ENSG00000004487	ENSG00000198003	1	2	2	2013-04-01
ENSG00000004487_ENSG00000120693	ENSG00000004487	ENSG00000120693	1	2	2	2013-04-01
ENSG00000004487_ENSG00000004487	ENSG00000004487	ENSG00000004487	2	2	2	2013-04-01
ENSG00000185359_ENSG00000240849	ENSG00000185359	ENSG00000240849	1	2	2	2010-08-01
ENSG00000177889_ENSG00000240849	ENSG00000177889	ENSG00000240849	1	2	2	2005-08-29
ENSG00000177889_ENSG00000239305	ENSG00000177889	ENSG00000239305	3	2	3	2009-01-01
ENSG00000101871_ENSG00000177889	ENSG00000101871	ENSG00000177889	2	3	3	2011-03-01
ENSG00000082996_ENSG00000177889	ENSG00000082996	ENSG00000177889	2	2	2	2014-11-03
ENSG00000112130_ENSG00000177889	ENSG00000112130	ENSG00000177889	11	4	12	2006-02-15
ENSG00000177479_ENSG00000177889	ENSG00000177479	ENSG00000177889	1	2	2	2009-08-01
ENSG00000115414_ENSG00000177889	ENSG00000115414	ENSG00000177889	1	2	2	2009-09-08
ENSG00000150991_ENSG00000177889	ENSG00000150991	ENSG00000177889	10	4	11	2003-04-11
ENSG00000177889_ENSG00000204713	ENSG00000177889	ENSG00000204713	1	2	2	2011-03-01
ENSG00000162692_ENSG00000177889	ENSG00000162692	ENSG00000177889	1	2	2	2009-09-08
ENSG00000012048_ENSG00000177889	ENSG00000012048	ENSG00000177889	3	3	5	2009-10-01
ENSG00000166736_ENSG00000186038	ENSG00000166736	ENSG00000186038	1	3	3	2007-07-01
ENSG00000080802_ENSG00000125107	ENSG00000080802	ENSG00000125107	2	1	2	2002-02-01
ENSG00000110367_ENSG00000125107	ENSG00000110367	ENSG00000125107	1	2	2	2014-06-05
ENSG00000110367_ENSG00000115414	ENSG00000110367	ENSG00000115414	1	2	2	2009-09-08
ENSG00000110367_ENSG00000162692	ENSG00000110367	ENSG00000162692	2	2	3	2009-09-08
ENSG00000125107_ENSG00000188613	ENSG00000125107	ENSG00000188613	1	2	2	2014-04-15
ENSG00000055917_ENSG00000188613	ENSG00000055917	ENSG00000188613	1	2	2	2003-04-01
ENSG00000125107_ENSG00000144580	ENSG00000125107	ENSG00000144580	2	3	3	2014-06-05
ENSG00000111596_ENSG00000125107	ENSG00000111596	ENSG00000125107	4	4	4	2002-01-10
ENSG00000125107_ENSG00000155508	ENSG00000125107	ENSG00000155508	4	3	4	2006-07-12
ENSG00000088038_ENSG00000155508	ENSG00000088038	ENSG00000155508	2	3	3	2000-02-01
ENSG00000133639_ENSG00000155508	ENSG00000133639	ENSG00000155508	2	2	3	2001-03-30
ENSG00000155508_ENSG00000159388	ENSG00000155508	ENSG00000159388	1	2	2	2001-03-30
ENSG00000145734_ENSG00000169155	ENSG00000145734	ENSG00000169155	1	2	2	2006-03-01
ENSG00000174405_ENSG00000184207	ENSG00000174405	ENSG00000184207	1	2	2	2012-09-18
ENSG00000054116_ENSG00000174405	ENSG00000054116	ENSG00000174405	1	2	2	2012-09-18
ENSG00000136824_ENSG00000174405	ENSG00000136824	ENSG00000174405	1	2	2	2003-02-01
ENSG00000074800_ENSG00000174405	ENSG00000074800	ENSG00000174405	1	2	2	2012-09-18
ENSG00000166796_ENSG00000174405	ENSG00000166796	ENSG00000174405	1	2	2	2012-09-18
ENSG00000135486_ENSG00000174405	ENSG00000135486	ENSG00000174405	1	2	2	2012-09-18
ENSG00000156515_ENSG00000174405	ENSG00000156515	ENSG00000174405	1	2	2	2012-09-18
ENSG00000140105_ENSG00000174405	ENSG00000140105	ENSG00000174405	1	2	2	2012-09-18
