Ensembl_gene_id_a	Ensembl_gene_id_b	in_screen_1	in_screen_2	in_screen_3	in_screen_4	in_screen_5	in_screen_6	in_screen_7	in_screen_8	in_screen_9	in_assay_v1	in_assay_v2	in_assay_v3
ENSG00000002822	ENSG00000140416	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000141013	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000143549	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000146112	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000152404	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000156795	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000157514	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000163071	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000164109	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000166170	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000166407	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000171847	0	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000176155	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000185264	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000198420	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002822	ENSG00000204536	1	1	1	0	0	0	0	0	0	1	0	0
ENSG00000002834	ENSG00000054965	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000062822	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000064218	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000064835	0	0	0	0	1	0	0	1	0	0	1	1
ENSG00000002834	ENSG00000064999	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000069011	0	0	0	1	0	0	0	1	0	0	1	1
ENSG00000002834	ENSG00000070808	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002834	ENSG00000071539	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002834	ENSG00000078328	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000085872	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002834	ENSG00000091073	0	0	0	0	0	0	1	0	1	0	0	1
ENSG00000002834	ENSG00000102898	0	0	0	0	0	0	1	1	0	0	0	1
ENSG00000002834	ENSG00000103043	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000002834	ENSG00000104973	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000105991	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000108255	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000002834	ENSG00000111077	1	0	1	0	0	0	0	0	0	1	0	0
ENSG00000002834	ENSG00000112559	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000002834	ENSG00000114354	0	0	0	1	1	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000115507	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000002834	ENSG00000124788	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000124827	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000125409	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000127054	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000130762	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000131721	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000134107	0	0	0	1	1	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000135482	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000002834	ENSG00000136451	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002834	ENSG00000137075	0	0	0	0	1	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000137098	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000002834	ENSG00000138867	0	0	0	0	0	1	0	0	0	0	1	0
