ad_orf_id	db_orf_id	final_score	source
100066420	1551	0	Lit-BM-LT-17
70513	100070216	AA	Lit-BM-LT-17
56664	9844	0	Lit-BM-LT-17
5962	71721	0	Lit-BM-LT-17
2405	100080796	0	Lit-BM-LT-17
5898	3740	1	Lit-BM-LT-17
55174	10799	0	Lit-BM-LT-17
2174	56166	0	Lit-BM-LT-17
12010	12803	0	Lit-BM-LT-17
71726	535	NA	Lit-BM-LT-17
3807	6157	0	Lit-BM-LT-17
7582	71257	0	Lit-BM-LT-17
732	100009344	0	Lit-BM-LT-17
113	10618	0	Lit-BM-LT-17
10357	100009283	0	Lit-BM-LT-17
10224	13622	1	Lit-BM-LT-17
6704	71335	0	Lit-BM-LT-17
100008847	1694	NA	Lit-BM-LT-17
2424	26	0	Lit-BM-LT-17
4362	11832	0	Lit-BM-LT-17
12309	7524	0	Lit-BM-LT-17
11939	55199	0	Lit-BM-LT-17
52986	71301	0	Lit-BM-LT-17
756	2094	0	Lit-BM-LT-17
10820	10820	0	Lit-BM-LT-17
10632	4718	0	Lit-BM-LT-17
323	4435	1	Lit-BM-LT-17
6512	6512	0	Lit-BM-LT-17
6358	6442	0	Lit-BM-LT-17
13582	100068974	0	Lit-BM-LT-17
2622	570	NA	Lit-BM-LT-17
9477	53254	0	Lit-BM-LT-17
100000465	100069176	0	Lit-BM-LT-17
8795	100011133	0	Lit-BM-LT-17
12474	5348	0	Lit-BM-LT-17
4144	56067	0	Lit-BM-LT-17
3587	56919	0	Lit-BM-LT-17
6919	6323	0	Lit-BM-LT-17
6671	100070227	0	Lit-BM-LT-17
9844	56664	NA	Lit-BM-LT-17
100009344	52967	NA	Lit-BM-LT-17
9233	7678	0	Lit-BM-LT-17
5627	14514	0	Lit-BM-LT-17
11800	10823	0	Lit-BM-LT-17
53364	12815	0	Lit-BM-LT-17
70513	14143	0	Lit-BM-LT-17
56919	6488	0	Lit-BM-LT-17
3310	100080534	0	Lit-BM-LT-17
10160	11727	0	Lit-BM-LT-17
2866	8321	0	Lit-BM-LT-17
2687	2687	0	Lit-BM-LT-17
2540	8139	0	Lit-BM-LT-17
2331	3120	0	Lit-BM-LT-17
5834	2987	0	Lit-BM-LT-17
4233	10104	0	Lit-BM-LT-17
3865	56121	0	Lit-BM-LT-17
100068974	71003	0	Lit-BM-LT-17
11285	14754	0	Lit-BM-LT-17
56249	10487	0	Lit-BM-LT-17
100011133	8795	0	Lit-BM-LT-17
56121	3865	0	Lit-BM-LT-17
9671	13373	0	Lit-BM-LT-17
100010147	100062530	0	Lit-BM-LT-17
13158	5118	0	Lit-BM-LT-17
100080511	3390	NA	Lit-BM-LT-17
2483	6843	0	Lit-BM-LT-17
4564	7064	0	Lit-BM-LT-17
12299	209	NA	Lit-BM-LT-17
54280	100080638	0	Lit-BM-LT-17
12016	385	0	Lit-BM-LT-17
11826	2666	0	Lit-BM-LT-17
53258	100070227	0	Lit-BM-LT-17
10927	100080804	0	Lit-BM-LT-17
10805	13970	0	Lit-BM-LT-17
10373	14554	0	Lit-BM-LT-17
100011444	100067220	0	Lit-BM-LT-17
6490	11403	0	Lit-BM-LT-17
6141	100011233	0	Lit-BM-LT-17
9581	11690	0	Lit-BM-LT-17
13003	55116	0	Lit-BM-LT-17
8536	8122	0	Lit-BM-LT-17
5585	54276	NA	Lit-BM-LT-17
100070227	53258	0	Lit-BM-LT-17
71301	52986	0	Lit-BM-LT-17
14956	5957	0	Lit-BM-LT-17
764	764	NA	Lit-BM-LT-17
634	53770	0	Lit-BM-LT-17
6916	2555	0	Lit-BM-LT-17
100080804	10927	0	Lit-BM-LT-17
1	1945	0	Lit-BM-LT-17
10051	11972	0	Lit-BM-LT-17
56067	4144	0	Lit-BM-LT-17
6151	11222	0	Lit-BM-LT-17
9159	100009783	0	Lit-BM-LT-17
5422	3971	0	Lit-BM-LT-17
72179	55210	0	Lit-BM-LT-17
1845	1845	1	Lit-BM-LT-17
1660	10354	0	Lit-BM-HT-17
5059	55203	0	Lit-BM-HT-17
1551	2961	0	Lit-BM-HT-17
71461	71385	0	Lit-BM-HT-17
52875	915	NA	Lit-BM-HT-17
10961	100008859	0	Lit-BM-HT-17
14543	14543	0	Lit-BM-HT-17
10155	8010	0	Lit-BM-HT-17
13451	7742	0	Lit-BM-HT-17
2666	9751	0	Lit-BM-HT-17
55203	9380	NA	Lit-BM-HT-17
53955	71264	0	Lit-BM-HT-17
3791	100066392	NA	Lit-BM-HT-17
1063	55809	0	Lit-BM-HT-17
70910	5674	0	Lit-BM-HT-17
7372	100062227	0	Lit-BM-HT-17
14543	100010572	0	Lit-BM-HT-17
