orf_id_a	orf_id_b	result	source
5943	56696	0.0	Lit-BS-HT-17
5949	100008556	0.0	Lit-BS-HT-17
5951	5951	1.0	Lit-BM-13
5962	71721		Lit-BM-LT-17
5964	5964	0.0	Lit-BM-LT-17
5970	11786	0.0	Lit-BM-13
5979	14176	0.0	Lit-NB-17
5980	100069121	0.0	Lit-BM-13
5988	14543	0.0	Lit-BM-HT-17
5989	6970	0.0	Lit-BS-LT-17
6003	6449	0.0	Lit-BM-13
6072	71986	0.0	Lit-BS-HT-17
6097	55309	0.0	Lit-NB-17
6123	100000286	0.0	Lit-BS-LT-17
6129	6701	0.0	Lit-BS-LT-17
6135	72129	0.0	Lit-NB-17
6141	6784	0.0	Lit-BS-HT-17
6157	100063943	0.0	Lit-BM-HT-17
6158	100011133	0.0	Lit-BM-LT-17
6175	100009829	0.0	Lit-BM-HT-17
6175	100015231	0.0	Lit-NB-17
6191	8626	0.0	Lit-BM-LT-17
6191	13131	0.0	Lit-NB-17
6197	7250	0.0	Lit-BS-HT-17
6221	56575	0.0	Lit-NB-17
6221	100061562	0.0	Lit-BM-13
6297	10794	0.0	Lit-BM-13
6306	53767	0.0	Lit-BS-HT-17
6337	54150	0.0	Lit-BM-LT-17
6349	7270	0.0	Lit-BS-HT-17
6440	71043	1.0	Lit-BM-LT-17
6452	70281	0.0	Lit-BM-13
6488	56919	0.0	Lit-BM-LT-17
6490	11403	0.0	Lit-BM-LT-17
6492	13177	0.0	Lit-BM-13
6512	6512	0.0	Lit-BM-LT-17
6523	55729	0.0	Lit-NB-17
6559	8010	0.0	Lit-BM-HT-17
6560	11729	0.0	Lit-NB-17
6631	100015231	0.0	Lit-BS-HT-17
6659	55855	0.0	Lit-NB-17
6669	8010	0.0	Lit-BS-HT-17
6680	100009114	0.0	Lit-BM-LT-17
6709	10047	0.0	Lit-BS-LT-17
6765	100009130	0.0	Lit-BS-HT-17
6768	7342	0.0	Lit-BS-LT-17
6770	12260	0.0	Lit-BS-LT-17
6838	13451	0.0	Lit-BM-HT-17
6912	80289	1.0	Lit-BS-LT-17
6912	100009797	1.0	Lit-BM-13
6916	9283	0.0	Lit-BS-LT-17
6933	12877	0.0	Lit-BS-LT-17
6935	14755	0.0	Lit-BM-HT-17
6935	100002314	0.0	Lit-BM-HT-17
6970	7938		Lit-BM-13
6970	100008839	0.0	Lit-BS-LT-17
6976	71184	0.0	Lit-BM-LT-17
6976	71829	0.0	Lit-BM-13
6982	13917	0.0	Lit-BM-LT-17
7011	10846	0.0	Lit-BS-HT-17
7038	14377		Lit-BM-LT-17
7045	8504	0.0	Lit-BM-13
7045	71679		Lit-BS-LT-17
7063	71264	0.0	Lit-BM-HT-17
7064	13171	1.0	Lit-BM-HT-17
7076	10300	0.0	Lit-BM-HT-17
7076	14239	0.0	Lit-BS-HT-17
7119	100014292	0.0	Lit-BS-HT-17
7123	7733	0.0	Lit-BS-HT-17
7142	100062353	0.0	Lit-BS-LT-17
7198	7562	0.0	Lit-BS-HT-17
7268	54057	0.0	Lit-BS-HT-17
7342	72163	0.0	Lit-NB-17
7372	9955	0.0	Lit-NB-17
7415	12880	0.0	Lit-BS-HT-17
